time,open,high,low,close,volume
2019-12-31 17:00:00,1521.761,1522.841,1521.158,1522.657,2415
2020-01-02 00:00:00,1518.464,1531.275,1517.172,1528.743,49163
2020-01-02 01:00:00,1518.464,1520.813,1517.172,1519.368,2567
2020-01-02 02:00:00,1519.365,1520.823,1518.372,1520.575,2006
2020-01-02 03:00:00,1520.567,1521.104,1519.785,1520.284,1584
2020-01-02 04:00:00,1520.288,1520.382,1519.454,1519.454,1104
2020-01-02 05:00:00,1519.398,1520.333,1518.953,1520.203,1653
2020-01-02 06:00:00,1520.204,1520.896,1519.307,1520.871,1995
2020-01-02 07:00:00,1520.935,1521.293,1519.081,1519.124,2356
2020-01-02 08:00:00,1519.16,1520.91,1518.417,1520.816,2511
2020-01-02 09:00:00,1520.78,1521.323,1519.602,1520.642,2281
2020-01-02 10:00:00,1520.642,1521.326,1519.648,1521.212,2054
2020-01-02 11:00:00,1521.204,1522.391,1521.163,1521.941,2060
2020-01-02 12:00:00,1521.943,1523.593,1521.546,1523.076,2087
2020-01-02 13:00:00,1523.07,1528.567,1522.699,1528.102,3235
2020-01-02 14:00:00,1528.106,1530.425,1525.621,1526.334,3477
2020-01-02 15:00:00,1526.312,1531.275,1525.862,1529.129,3541
2020-01-02 16:00:00,1529.145,1529.176,1525.234,1525.513,2902
2020-01-02 17:00:00,1525.485,1526.008,1522.781,1525.211,2715
2020-01-02 18:00:00,1525.212,1526.487,1524.871,1526.294,2275
2020-01-02 19:00:00,1526.296,1526.885,1525.531,1526.709,2090
2020-01-02 20:00:00,1526.721,1528.509,1526.475,1528.273,2169
2020-01-02 21:00:00,1528.256,1529.009,1527.91,1529.009,1289
2020-01-02 23:00:00,1528.413,1528.84,1527.94,1528.743,1276
2020-01-03 00:00:00,1528.725,1530.6,1528.725,1530.508,1744
2020-01-03 01:00:00,1530.511,1535.723,1529.904,1534.88,2686
2020-01-03 02:00:00,1534.899,1540.975,1532.624,1538.243,4218
2020-01-03 03:00:00,1538.281,1540.525,1537.746,1538.557,2750
2020-01-03 04:00:00,1538.548,1539.571,1537.403,1538.707,2084
2020-01-03 05:00:00,1538.738,1543.77,1538.245,1541.366,3035
