time,open,high,low,close,volume
2026-04-16 23:30:00,75038.91,75199.85,75022.71,75150.31,681
2026-04-16 23:45:00,75150.46,75181.97,75056.07,75158.87,542
2026-04-17 00:00:00,75159.02,75177.13,74952.93,74980.3,808
2026-04-17 00:15:00,74982.86,75019.6,74893.65,75016.29,646
2026-04-17 00:30:00,75017.46,75130.7,74974.85,74974.93,570
2026-04-17 00:45:00,74974.42,75007.99,74923.2,74949.73,506
2026-04-17 01:00:00,74951.01,75054.71,74893.82,74914.78,585
2026-04-17 01:15:00,74913.19,74953.36,74646.27,74775.32,795
2026-04-17 01:30:00,74773.78,74837.59,74672.32,74741.7,688
2026-04-17 01:45:00,74741.13,74858.62,74583.62,74760.37,737
2026-04-17 02:00:00,74760.93,74823.8,74657.42,74729.48,540
2026-04-17 02:15:00,74729.89,74752.09,74608.55,74619.39,508
2026-04-17 02:30:00,74619.47,74762.42,74529.56,74680.29,577
2026-04-17 02:45:00,74680.36,74724.1,74634.29,74722.65,448
2026-04-17 03:00:00,74725.33,74730.55,74613.91,74709.3,579
2026-04-17 03:15:00,74709.61,74785.05,74692.42,74749.84,483
2026-04-17 03:30:00,74751.58,74865.92,74689.47,74779.72,577
2026-04-17 03:45:00,74780.39,74826.36,74617.05,74633.93,495
2026-04-17 04:00:00,74631.41,74700.73,74593.45,74691.12,460
2026-04-17 04:15:00,74684.89,74807.31,74684.89,74768.4,484
2026-04-17 04:30:00,74769.12,74870.07,74750.96,74830.98,483
2026-04-17 04:45:00,74822.05,74850.28,74765.48,74807.43,434
2026-04-17 05:00:00,74800.69,74822.31,74558.9,74638.87,657
2026-04-17 05:15:00,74637.77,74770.73,74610.27,74684.79,480
2026-04-17 05:30:00,74683.88,74712.35,74624.55,74674.23,475
2026-04-17 05:45:00,74674.56,74748.23,74633.0,74656.45,434
2026-04-17 06:00:00,74651.39,74792.83,74609.42,74775.25,533
2026-04-17 06:15:00,74775.15,74829.31,74750.58,74815.67,478
2026-04-17 06:30:00,74813.48,74880.37,74771.58,74863.77,500
2026-04-17 06:45:00,74862.41,74962.09,74826.98,74954.87,497
2026-04-17 07:00:00,74951.69,75116.63,74943.21,75051.94,614
2026-04-17 07:15:00,75052.53,75052.53,74954.5,74995.65,498
2026-04-17 07:30:00,74997.72,75032.52,74951.63,75029.13,569
2026-04-17 07:45:00,75029.6,75096.85,74952.08,75096.85,600
2026-04-17 08:00:00,75093.38,75179.12,75014.97,75068.27,549
2026-04-17 08:15:00,75067.78,75169.24,75003.22,75115.41,586
2026-04-17 08:30:00,75114.44,75428.76,75098.4,75350.04,985
2026-04-17 08:45:00,75350.14,75906.9,75291.94,75800.75,1433
2026-04-17 09:00:00,75799.2,75948.25,75627.99,75920.24,979
2026-04-17 09:15:00,75920.11,76388.73,75729.29,76286.04,1693
2026-04-17 09:30:00,76283.41,76337.34,75519.88,75763.89,2231
2026-04-17 09:45:00,75764.91,75918.7,75681.68,75792.18,778
2026-04-17 10:00:00,75783.82,75907.46,75619.28,75642.89,843
2026-04-17 10:15:00,75646.26,75750.11,75186.81,75233.43,818
2026-04-17 10:30:00,75230.34,75382.47,75097.81,75208.75,1281
2026-04-17 10:45:00,75210.67,75329.04,75108.49,75290.78,688
2026-04-17 11:00:00,75289.95,75432.41,75257.66,75334.7,661
2026-04-17 11:15:00,75330.35,75505.48,75327.65,75476.05,615
2026-04-17 11:30:00,75481.31,75604.31,75402.67,75406.61,678
2026-04-17 11:45:00,75405.83,75635.44,75389.43,75612.58,622
2026-04-17 12:00:00,75611.05,75745.65,75549.86,75696.69,730
2026-04-17 12:15:00,75696.84,76016.7,75643.88,75798.26,1256
2026-04-17 12:30:00,75800.67,75939.67,75668.42,75770.83,1118
2026-04-17 12:45:00,75768.08,76300.11,75747.73,76251.94,2635
2026-04-17 13:00:00,76257.7,76951.15,76076.84,76948.91,3889
2026-04-17 13:15:00,76949.24,77046.02,76464.15,76610.19,3364
2026-04-17 13:30:00,76610.55,76963.9,76118.71,76920.47,3683
2026-04-17 13:45:00,76928.72,77461.71,76665.47,77376.68,3971
2026-04-17 14:00:00,77379.44,77575.78,77043.11,77111.39,2879
2026-04-17 14:15:00,77124.15,77810.26,77110.51,77517.5,2461
2026-04-17 14:30:00,77517.24,78118.62,77517.24,78052.9,2260
2026-04-17 14:45:00,78044.18,78119.67,77778.4,77961.74,1997
2026-04-17 15:00:00,77956.35,78017.22,77635.15,77880.37,2345
2026-04-17 15:15:00,77876.65,78053.76,77723.85,77791.0,1739
2026-04-17 15:30:00,77788.02,77900.25,77487.93,77554.83,1856
2026-04-17 15:45:00,77555.74,77931.71,77474.53,77829.61,1899
2026-04-17 16:00:00,77829.52,78091.23,77753.68,77919.39,1286
2026-04-17 16:15:00,77920.87,78402.38,77831.25,78202.07,1777
2026-04-17 16:30:00,78199.45,78328.75,78015.8,78126.09,1380
2026-04-17 16:45:00,78127.49,78150.72,77824.15,77902.67,1134
2026-04-17 17:00:00,77894.92,77967.11,77390.85,77541.36,1827
2026-04-17 17:15:00,77535.84,77640.65,77129.87,77273.25,2275
2026-04-17 17:30:00,77273.55,77573.57,77273.55,77497.78,1553
2026-04-17 17:45:00,77499.54,77697.25,77457.75,77545.39,1113
2026-04-17 18:00:00,77543.83,77611.18,77120.84,77186.86,1393
2026-04-17 18:15:00,77182.79,77401.86,77109.91,77229.88,1433
2026-04-17 18:30:00,77235.47,77420.39,77161.59,77401.15,957
2026-04-17 18:45:00,77401.02,77413.24,77117.49,77186.96,1021
2026-04-17 19:00:00,77187.75,77295.89,76991.64,77250.85,1085
2026-04-17 19:15:00,77255.92,77423.9,77255.92,77297.67,974
2026-04-17 19:30:00,77306.18,77438.75,77237.78,77386.92,990
2026-04-17 19:45:00,77380.38,77523.17,77259.54,77433.43,1058
2026-04-17 20:00:00,77440.63,77657.42,77385.63,77559.61,892
2026-04-17 20:15:00,77555.33,77559.29,77387.69,77407.84,602
2026-04-17 20:30:00,77405.91,77433.49,77184.46,77277.76,725
2026-04-17 20:45:00,77275.23,77396.6,77227.65,77361.2,515
2026-04-17 21:00:00,77359.92,77452.81,77340.26,77415.64,434
2026-04-17 21:15:00,77416.46,77527.92,77305.89,77460.62,540
2026-04-17 21:30:00,77458.22,77479.1,77309.5,77439.77,687
2026-04-17 21:45:00,77439.64,77527.73,77392.83,77468.27,703
2026-04-17 22:00:00,77467.85,77551.23,77405.27,77453.1,551
2026-04-17 22:15:00,77453.01,77488.84,77326.38,77410.01,615
2026-04-17 22:30:00,77415.98,77509.06,77358.95,77440.41,678
2026-04-17 22:45:00,77439.85,77473.58,77287.18,77335.67,536
2026-04-17 23:00:00,77335.81,77335.81,77195.31,77233.96,615
2026-04-17 23:15:00,77233.03,77233.03,76919.91,77073.01,804
2026-04-17 23:30:00,77074.41,77155.54,77009.38,77067.64,570
2026-04-17 23:45:00,77068.21,77176.58,77058.46,77095.14,409
2026-04-18 00:00:00,77092.71,77230.6,77054.84,77126.75,685
2026-04-18 00:15:00,77129.14,77260.72,77129.14,77241.59,501
2026-04-18 00:30:00,77241.67,77282.57,77033.7,77039.2,684
2026-04-18 00:45:00,77040.67,77245.94,77000.29,77196.94,602
2026-04-18 01:00:00,77199.3,77363.09,77142.35,77343.73,592
2026-04-18 01:15:00,77339.83,77362.12,77295.27,77321.03,523
2026-04-18 01:30:00,77329.26,77333.12,77220.76,77220.87,428
2026-04-18 01:45:00,77221.02,77343.87,77159.49,77243.66,484
2026-04-18 02:00:00,77242.49,77322.88,77151.56,77321.4,481
2026-04-18 02:15:00,77321.27,77454.58,77309.78,77352.87,573
2026-04-18 02:30:00,77352.99,77438.97,77283.51,77355.29,491
2026-04-18 02:45:00,77354.64,77359.56,77301.89,77317.9,361
2026-04-18 03:00:00,77317.81,77327.94,77248.23,77285.26,438
2026-04-18 03:15:00,77282.68,77288.58,77188.29,77213.53,369
2026-04-18 03:30:00,77215.07,77233.31,77124.24,77186.67,456
2026-04-18 03:45:00,77187.14,77240.97,76985.9,77041.77,619
2026-04-18 04:00:00,77042.28,77125.61,76982.67,77101.57,486
2026-04-18 04:15:00,77098.27,77099.26,76962.9,77024.13,488
2026-04-18 04:30:00,77016.54,77109.51,76905.14,77010.96,530
2026-04-18 04:45:00,77012.32,77194.07,77012.32,77139.39,482
2026-04-18 05:00:00,77141.17,77309.52,77136.46,77233.48,507
2026-04-18 05:15:00,77233.31,77256.89,77164.82,77179.72,426
2026-04-18 05:30:00,77175.34,77229.22,77140.36,77175.84,376
2026-04-18 05:45:00,77174.95,77185.14,77142.18,77159.54,294
2026-04-18 06:00:00,77160.36,77243.42,77124.33,77202.91,511
2026-04-18 06:15:00,77200.5,77219.54,77085.1,77105.76,398
2026-04-18 06:30:00,77107.01,77169.72,77101.43,77163.93,343
2026-04-18 06:45:00,77163.85,77185.55,77125.65,77148.74,350
2026-04-18 07:00:00,77140.81,77159.46,77087.93,77098.96,384
2026-04-18 07:15:00,77098.97,77128.52,77066.66,77103.08,308
2026-04-18 07:30:00,77103.74,77113.87,76978.66,77064.34,385
2026-04-18 07:45:00,77058.13,77058.13,76899.86,77015.16,494
2026-04-18 08:00:00,77017.17,77068.17,76806.11,76829.36,463
2026-04-18 08:15:00,76821.54,76885.12,76651.01,76705.58,1047
2026-04-18 08:30:00,76702.53,76789.17,76522.88,76580.88,974
2026-04-18 08:45:00,76577.29,76811.6,76558.24,76749.91,653
2026-04-18 09:00:00,76743.79,76743.79,76458.1,76567.81,748
2026-04-18 09:15:00,76566.81,76608.99,76413.78,76602.92,645
2026-04-18 09:30:00,76595.53,76695.21,76571.61,76649.87,416
2026-04-18 09:45:00,76649.79,76721.18,76550.86,76619.76,483
2026-04-18 10:00:00,76622.12,76622.12,76231.05,76319.56,1190
2026-04-18 10:15:00,76319.93,76417.66,76299.86,76350.2,593
2026-04-18 10:30:00,76341.39,76341.39,76242.56,76259.17,558
2026-04-18 10:45:00,76259.1,76313.58,76158.8,76216.76,537
2026-04-18 11:00:00,76216.26,76218.07,75935.44,75971.3,997
2026-04-18 11:15:00,75970.73,76126.47,75953.06,76099.0,650
2026-04-18 11:30:00,76098.93,76199.34,75777.11,75871.26,925
2026-04-18 11:45:00,75872.67,76130.31,75812.41,76058.12,946
2026-04-18 12:00:00,76060.25,76253.79,76060.25,76228.04,882
2026-04-18 12:15:00,76225.96,76343.95,76150.4,76166.33,770
2026-04-18 12:30:00,76170.07,76248.21,76067.6,76204.2,644
