time,open,high,low,close,volume
2026-04-16 23:20:00,4796.296,4797.833,4795.323,4796.513,386
2026-04-16 23:25:00,4796.377,4796.876,4794.168,4794.504,334
2026-04-16 23:30:00,4794.518,4795.784,4792.273,4794.756,365
2026-04-16 23:35:00,4795.036,4795.733,4794.628,4795.011,277
2026-04-16 23:40:00,4794.817,4796.149,4794.574,4795.67,282
2026-04-16 23:45:00,4795.532,4796.646,4793.291,4794.119,395
2026-04-16 23:50:00,4794.109,4795.9,4793.525,4794.058,379
2026-04-16 23:55:00,4794.032,4794.468,4791.568,4791.644,453
2026-04-17 00:00:00,4791.552,4791.578,4787.716,4788.384,736
2026-04-17 00:05:00,4788.441,4790.727,4785.775,4790.416,689
2026-04-17 00:10:00,4790.344,4791.71,4787.522,4789.931,607
2026-04-17 00:15:00,4789.91,4792.248,4787.578,4791.092,564
2026-04-17 00:20:00,4791.089,4791.893,4789.662,4789.802,595
2026-04-17 00:25:00,4789.828,4793.057,4789.327,4792.844,501
2026-04-17 00:30:00,4793.03,4798.324,4792.351,4796.454,652
2026-04-17 00:35:00,4796.347,4797.193,4794.786,4796.239,589
2026-04-17 00:40:00,4795.995,4798.678,4794.759,4798.678,506
2026-04-17 00:45:00,4798.76,4801.195,4797.927,4799.144,519
2026-04-17 00:50:00,4799.265,4799.317,4794.835,4795.307,527
2026-04-17 00:55:00,4795.247,4795.934,4794.009,4794.883,500
2026-04-17 01:00:00,4794.945,4795.532,4786.799,4789.168,1511
2026-04-17 01:05:00,4789.138,4790.789,4782.983,4783.407,1238
2026-04-17 01:10:00,4783.345,4784.61,4769.007,4778.821,2374
2026-04-17 01:15:00,4778.616,4784.926,4778.212,4782.384,1083
2026-04-17 01:20:00,4782.591,4783.575,4771.669,4774.342,1349
2026-04-17 01:25:00,4774.433,4777.01,4767.422,4768.826,1454
2026-04-17 01:30:00,4768.807,4776.069,4767.684,4773.94,1595
2026-04-17 01:35:00,4773.864,4777.637,4773.67,4773.937,982
2026-04-17 01:40:00,4773.892,4777.716,4772.087,4777.58,964
2026-04-17 01:45:00,4777.596,4779.295,4775.23,4778.459,741
2026-04-17 01:50:00,4778.464,4786.834,4777.831,4786.338,973
2026-04-17 01:55:00,4786.28,4791.435,4786.122,4789.244,982
2026-04-17 02:00:00,4789.24,4792.402,4788.193,4791.783,826
2026-04-17 02:05:00,4791.845,4794.432,4789.589,4790.037,753
2026-04-17 02:10:00,4790.018,4791.453,4788.191,4791.317,597
2026-04-17 02:15:00,4791.254,4792.056,4788.327,4789.347,399
2026-04-17 02:20:00,4789.366,4791.902,4788.215,4789.951,531
2026-04-17 02:25:00,4789.671,4791.257,4788.918,4789.115,488
2026-04-17 02:30:00,4789.029,4793.258,4788.574,4791.379,680
2026-04-17 02:35:00,4791.377,4794.626,4790.196,4792.932,679
2026-04-17 02:40:00,4792.932,4794.77,4791.244,4791.627,533
2026-04-17 02:45:00,4791.619,4793.262,4789.406,4789.406,593
2026-04-17 02:50:00,4789.587,4789.99,4788.276,4788.365,459
2026-04-17 02:55:00,4788.256,4788.879,4784.476,4784.664,651
2026-04-17 03:00:00,4784.721,4791.73,4784.721,4791.698,768
2026-04-17 03:05:00,4791.689,4797.508,4791.689,4795.5,1049
2026-04-17 03:10:00,4795.436,4796.567,4792.632,4795.922,717
2026-04-17 03:15:00,4795.666,4798.234,4794.35,4797.022,771
2026-04-17 03:20:00,4797.07,4797.367,4794.717,4795.857,596
2026-04-17 03:25:00,4795.634,4795.854,4792.896,4794.185,612
2026-04-17 03:30:00,4793.932,4794.962,4792.695,4793.933,451
2026-04-17 03:35:00,4794.004,4794.43,4792.032,4793.002,383
2026-04-17 03:40:00,4793.052,4794.995,4792.114,4794.367,413
2026-04-17 03:45:00,4794.338,4796.259,4794.022,4796.0,358
2026-04-17 03:50:00,4796.006,4796.68,4793.938,4794.255,396
2026-04-17 03:55:00,4793.955,4794.406,4792.897,4793.397,323
2026-04-17 04:00:00,4793.291,4794.425,4792.541,4794.354,358
2026-04-17 04:05:00,4794.036,4795.149,4793.348,4793.971,571
2026-04-17 04:10:00,4793.69,4796.163,4793.61,4795.164,307
2026-04-17 04:15:00,4795.186,4796.131,4793.599,4795.757,438
2026-04-17 04:20:00,4795.504,4795.754,4793.805,4795.14,342
2026-04-17 04:25:00,4795.087,4795.931,4794.17,4795.764,290
2026-04-17 04:30:00,4795.771,4797.512,4795.178,4796.839,370
2026-04-17 04:35:00,4796.861,4799.529,4796.82,4799.259,408
2026-04-17 04:40:00,4799.177,4801.401,4798.756,4800.791,346
2026-04-17 04:45:00,4800.796,4801.07,4798.569,4798.618,310
2026-04-17 04:50:00,4798.612,4801.111,4798.43,4799.115,425
2026-04-17 04:55:00,4799.115,4804.568,4798.867,4802.802,499
2026-04-17 05:00:00,4802.813,4805.359,4800.295,4801.23,729
2026-04-17 05:05:00,4801.281,4805.294,4799.749,4804.396,616
2026-04-17 05:10:00,4804.402,4806.291,4803.946,4804.815,472
2026-04-17 05:15:00,4804.755,4805.001,4801.446,4803.442,447
2026-04-17 05:20:00,4803.614,4805.128,4802.401,4804.585,481
2026-04-17 05:25:00,4804.575,4805.112,4802.758,4803.334,394
2026-04-17 05:30:00,4803.449,4805.085,4798.065,4798.582,1086
2026-04-17 05:35:00,4798.654,4802.842,4798.216,4799.563,705
2026-04-17 05:40:00,4799.524,4801.192,4795.445,4796.466,911
2026-04-17 05:45:00,4796.491,4798.078,4794.591,4797.192,1016
2026-04-17 05:50:00,4797.256,4800.461,4796.471,4797.239,812
2026-04-17 05:55:00,4797.307,4798.128,4793.611,4794.256,698
2026-04-17 06:00:00,4794.35,4794.62,4789.949,4793.27,1142
2026-04-17 06:05:00,4793.328,4795.277,4789.951,4790.485,807
2026-04-17 06:10:00,4790.473,4791.374,4786.804,4787.757,977
2026-04-17 06:15:00,4787.795,4789.881,4784.694,4785.82,787
2026-04-17 06:20:00,4785.787,4788.198,4784.072,4787.582,816
2026-04-17 06:25:00,4787.411,4788.381,4783.032,4783.901,697
2026-04-17 06:30:00,4783.877,4785.854,4781.247,4782.594,929
2026-04-17 06:35:00,4782.93,4786.247,4779.128,4785.521,931
2026-04-17 06:40:00,4785.459,4786.806,4784.346,4785.515,604
2026-04-17 06:45:00,4785.546,4786.618,4783.766,4785.616,541
2026-04-17 06:50:00,4785.389,4787.169,4783.921,4784.61,530
2026-04-17 06:55:00,4784.551,4786.836,4784.074,4785.019,595
2026-04-17 07:00:00,4785.121,4788.869,4784.161,4788.689,747
2026-04-17 07:05:00,4788.759,4791.006,4787.241,4789.38,703
2026-04-17 07:10:00,4789.395,4789.824,4786.756,4787.275,494
2026-04-17 07:15:00,4787.339,4789.425,4784.548,4789.001,604
2026-04-17 07:20:00,4788.938,4789.906,4785.131,4788.998,620
2026-04-17 07:25:00,4788.699,4792.801,4788.699,4791.478,574
2026-04-17 07:30:00,4791.481,4794.713,4790.418,4794.326,569
2026-04-17 07:35:00,4794.324,4794.493,4785.996,4786.859,731
2026-04-17 07:40:00,4786.854,4787.741,4782.182,4786.126,750
2026-04-17 07:45:00,4785.785,4786.118,4779.907,4779.907,768
2026-04-17 07:50:00,4780.02,4785.664,4778.656,4785.233,775
2026-04-17 07:55:00,4785.241,4785.437,4783.099,4784.453,581
2026-04-17 08:00:00,4784.439,4790.306,4784.33,4790.245,784
2026-04-17 08:05:00,4790.215,4790.843,4783.425,4784.428,760
2026-04-17 08:10:00,4784.094,4785.545,4780.899,4783.667,720
2026-04-17 08:15:00,4783.451,4785.487,4782.624,4785.222,516
2026-04-17 08:20:00,4785.218,4787.125,4783.014,4784.295,521
2026-04-17 08:25:00,4784.211,4785.885,4783.114,4784.485,572
2026-04-17 08:30:00,4784.493,4788.259,4784.29,4786.449,577
2026-04-17 08:35:00,4786.388,4789.722,4785.594,4789.16,452
2026-04-17 08:40:00,4789.14,4796.593,4788.055,4796.593,807
2026-04-17 08:45:00,4796.58,4796.708,4791.58,4793.386,615
2026-04-17 08:50:00,4793.401,4794.759,4790.898,4793.194,646
2026-04-17 08:55:00,4793.48,4796.205,4792.012,4795.737,533
2026-04-17 09:00:00,4795.678,4801.006,4795.664,4798.943,719
2026-04-17 09:05:00,4798.896,4799.082,4794.71,4796.06,637
2026-04-17 09:10:00,4796.008,4796.094,4792.745,4793.127,495
2026-04-17 09:15:00,4793.185,4795.425,4791.99,4795.425,483
2026-04-17 09:20:00,4795.44,4798.198,4794.506,4794.596,533
2026-04-17 09:25:00,4794.466,4798.229,4794.466,4795.98,631
2026-04-17 09:30:00,4795.674,4797.031,4794.095,4796.864,704
2026-04-17 09:35:00,4796.883,4798.897,4794.704,4795.475,578
2026-04-17 09:40:00,4795.487,4796.43,4793.955,4794.518,460
2026-04-17 09:45:00,4794.384,4795.011,4790.351,4792.028,605
2026-04-17 09:50:00,4792.005,4792.747,4790.544,4791.864,563
2026-04-17 09:55:00,4791.85,4792.617,4789.873,4790.433,425
2026-04-17 10:00:00,4790.491,4792.107,4789.022,4791.219,638
2026-04-17 10:05:00,4790.927,4791.517,4788.683,4789.16,443
2026-04-17 10:10:00,4789.148,4791.758,4787.065,4791.271,542
2026-04-17 10:15:00,4791.35,4793.917,4790.484,4791.557,498
2026-04-17 10:20:00,4791.606,4793.843,4790.834,4792.449,456
2026-04-17 10:25:00,4792.607,4792.718,4788.753,4789.642,468
2026-04-17 10:30:00,4789.65,4789.888,4786.347,4787.917,513
2026-04-17 10:35:00,4788.267,4789.088,4785.568,4785.68,477
2026-04-17 10:40:00,4785.686,4785.753,4782.307,4785.019,623
2026-04-17 10:45:00,4785.04,4787.74,4784.146,4787.652,558
2026-04-17 10:50:00,4787.604,4788.068,4782.15,4786.189,745
2026-04-17 10:55:00,4786.035,4787.608,4783.961,4787.196,500
2026-04-17 11:00:00,4787.256,4789.555,4783.356,4785.144,662
2026-04-17 11:05:00,4785.321,4787.244,4783.856,4787.039,477
2026-04-17 11:10:00,4786.979,4788.258,4785.411,4786.318,432
2026-04-17 11:15:00,4786.243,4787.138,4784.556,4785.805,460
2026-04-17 11:20:00,4785.73,4790.737,4784.916,4790.504,514
2026-04-17 11:25:00,4790.499,4793.211,4790.12,4792.678,543
2026-04-17 11:30:00,4792.899,4793.944,4789.663,4793.119,545
2026-04-17 11:35:00,4793.177,4794.253,4790.68,4792.354,520
2026-04-17 11:40:00,4792.345,4798.46,4792.145,4798.398,521
2026-04-17 11:45:00,4798.456,4811.712,4798.456,4805.804,1630
2026-04-17 11:50:00,4805.767,4806.665,4801.16,4801.16,930
2026-04-17 11:55:00,4801.491,4801.842,4798.72,4799.193,782
2026-04-17 12:00:00,4799.258,4805.458,4797.435,4803.756,962
