time,open,high,low,close,volume
2026-04-16 23:20:00,1.17855,1.17858,1.17847,1.17849,42
2026-04-16 23:25:00,1.17849,1.17859,1.17849,1.17854,37
2026-04-16 23:30:00,1.17854,1.17855,1.17843,1.17844,33
2026-04-16 23:35:00,1.17845,1.17847,1.17835,1.17841,50
2026-04-16 23:40:00,1.17841,1.17841,1.1783299999999999,1.1783299999999999,29
2026-04-16 23:45:00,1.1783299999999999,1.1783299999999999,1.17825,1.17825,46
2026-04-16 23:50:00,1.17825,1.17827,1.17812,1.17817,64
2026-04-16 23:55:00,1.17817,1.17818,1.17805,1.1780599999999999,42
2026-04-17 00:00:00,1.17805,1.17805,1.17769,1.1778,128
2026-04-17 00:05:00,1.17781,1.17784,1.17767,1.17781,137
2026-04-17 00:10:00,1.17781,1.17801,1.17777,1.17777,109
2026-04-17 00:15:00,1.17777,1.1781,1.17771,1.17809,94
2026-04-17 00:20:00,1.17809,1.17817,1.17799,1.17802,101
2026-04-17 00:25:00,1.17802,1.17813,1.17801,1.17808,89
2026-04-17 00:30:00,1.17808,1.17829,1.17805,1.1782,108
2026-04-17 00:35:00,1.1782,1.1782,1.17801,1.17812,94
2026-04-17 00:40:00,1.17812,1.17821,1.17809,1.17818,64
2026-04-17 00:45:00,1.17816,1.17826,1.17809,1.17815,77
2026-04-17 00:50:00,1.17815,1.17818,1.17786,1.17789,105
2026-04-17 00:55:00,1.17787,1.17797,1.17783,1.17785,118
2026-04-17 01:00:00,1.17785,1.17795,1.17761,1.1776200000000001,146
2026-04-17 01:05:00,1.17763,1.17771,1.1774499999999999,1.17748,132
2026-04-17 01:10:00,1.17748,1.17774,1.17742,1.17768,164
2026-04-17 01:15:00,1.17766,1.17782,1.17766,1.1777199999999999,93
2026-04-17 01:20:00,1.1777199999999999,1.17775,1.17751,1.17761,74
2026-04-17 01:25:00,1.17761,1.17765,1.17742,1.1775,108
2026-04-17 01:30:00,1.1775,1.17771,1.17743,1.17753,119
2026-04-17 01:35:00,1.17754,1.17766,1.17753,1.17756,76
2026-04-17 01:40:00,1.17756,1.17766,1.17746,1.17765,66
2026-04-17 01:45:00,1.17765,1.17777,1.1776200000000001,1.17766,77
2026-04-17 01:50:00,1.17767,1.17769,1.17756,1.17761,58
2026-04-17 01:55:00,1.17761,1.17767,1.1775,1.17758,102
2026-04-17 02:00:00,1.17758,1.17761,1.17751,1.17757,80
2026-04-17 02:05:00,1.17757,1.1776200000000001,1.17741,1.17742,88
2026-04-17 02:10:00,1.17743,1.17743,1.17729,1.17741,75
2026-04-17 02:15:00,1.17741,1.17755,1.17736,1.17747,79
2026-04-17 02:20:00,1.17746,1.17752,1.17742,1.17747,46
2026-04-17 02:25:00,1.17747,1.1776,1.17746,1.17753,75
2026-04-17 02:30:00,1.17753,1.17754,1.17744,1.17754,49
2026-04-17 02:35:00,1.17754,1.17768,1.17752,1.17767,65
2026-04-17 02:40:00,1.17767,1.1777,1.17753,1.17755,64
2026-04-17 02:45:00,1.17755,1.17763,1.17752,1.17757,52
2026-04-17 02:50:00,1.17757,1.17766,1.17755,1.17763,42
2026-04-17 02:55:00,1.17763,1.17775,1.17763,1.17767,72
2026-04-17 03:00:00,1.17766,1.17779,1.17766,1.1777199999999999,77
2026-04-17 03:05:00,1.1777199999999999,1.17787,1.1777199999999999,1.1778,73
2026-04-17 03:10:00,1.17779,1.17784,1.17768,1.17771,53
2026-04-17 03:15:00,1.17771,1.17773,1.17753,1.17758,80
2026-04-17 03:20:00,1.17758,1.17766,1.17751,1.1776,60
2026-04-17 03:25:00,1.1776,1.17766,1.17752,1.17757,68
2026-04-17 03:30:00,1.17757,1.1776200000000001,1.17753,1.17761,41
2026-04-17 03:35:00,1.1776200000000001,1.17779,1.1776200000000001,1.17778,42
2026-04-17 03:40:00,1.17778,1.17807,1.17777,1.17798,102
2026-04-17 03:45:00,1.17798,1.1783,1.17797,1.17828,77
2026-04-17 03:50:00,1.17828,1.17834,1.17825,1.1783299999999999,58
2026-04-17 03:55:00,1.1783299999999999,1.17848,1.17828,1.17828,71
2026-04-17 04:00:00,1.17828,1.17839,1.17827,1.17832,64
2026-04-17 04:05:00,1.17832,1.17837,1.17821,1.17827,41
2026-04-17 04:10:00,1.17827,1.1783299999999999,1.17825,1.17831,27
2026-04-17 04:15:00,1.17831,1.17834,1.17812,1.17829,94
2026-04-17 04:20:00,1.17829,1.1783,1.17815,1.17828,53
2026-04-17 04:25:00,1.17826,1.1783299999999999,1.17818,1.17824,83
2026-04-17 04:30:00,1.17824,1.17824,1.17811,1.17813,54
2026-04-17 04:35:00,1.17813,1.17823,1.17811,1.17817,55
2026-04-17 04:40:00,1.17817,1.1783299999999999,1.17811,1.17829,62
2026-04-17 04:45:00,1.17829,1.1783,1.17819,1.17828,61
2026-04-17 04:50:00,1.17828,1.1784,1.17828,1.17831,61
2026-04-17 04:55:00,1.17831,1.17831,1.17816,1.17821,69
2026-04-17 05:00:00,1.17821,1.17829,1.1779600000000001,1.17815,155
2026-04-17 05:05:00,1.17815,1.17828,1.17809,1.17819,109
2026-04-17 05:10:00,1.17819,1.17822,1.17811,1.17817,82
2026-04-17 05:15:00,1.17817,1.17823,1.17811,1.1782,76
2026-04-17 05:20:00,1.17819,1.17826,1.17812,1.17823,95
2026-04-17 05:25:00,1.17822,1.17842,1.1782,1.1784,83
2026-04-17 05:30:00,1.1784,1.17842,1.17801,1.17813,107
2026-04-17 05:35:00,1.17813,1.1783299999999999,1.1781,1.17819,78
2026-04-17 05:40:00,1.17819,1.17832,1.17816,1.17817,66
2026-04-17 05:45:00,1.17816,1.17824,1.17814,1.1782,66
2026-04-17 05:50:00,1.1782,1.17826,1.17817,1.17821,49
2026-04-17 05:55:00,1.17823,1.17834,1.17802,1.17802,97
2026-04-17 06:00:00,1.17801,1.17819,1.17788,1.17809,159
2026-04-17 06:05:00,1.17809,1.17829,1.17769,1.17783,195
2026-04-17 06:10:00,1.17783,1.178,1.1777199999999999,1.17777,159
2026-04-17 06:15:00,1.17778,1.17782,1.17751,1.17758,144
2026-04-17 06:20:00,1.17759,1.17781,1.17756,1.17776,133
2026-04-17 06:25:00,1.17778,1.17778,1.17748,1.17749,118
2026-04-17 06:30:00,1.17747,1.17756,1.17734,1.17744,167
2026-04-17 06:35:00,1.17742,1.17742,1.17716,1.17734,147
2026-04-17 06:40:00,1.1773500000000001,1.1774,1.17724,1.17729,134
2026-04-17 06:45:00,1.17729,1.1776,1.17726,1.17759,130
2026-04-17 06:50:00,1.17759,1.1778,1.17759,1.17761,103
2026-04-17 06:55:00,1.1776,1.17764,1.1774,1.17746,170
2026-04-17 07:00:00,1.17747,1.17786,1.17747,1.17774,230
2026-04-17 07:05:00,1.1777199999999999,1.178,1.17767,1.17781,176
2026-04-17 07:10:00,1.17778,1.17787,1.17758,1.17776,191
2026-04-17 07:15:00,1.17776,1.17782,1.17746,1.17779,178
2026-04-17 07:20:00,1.1778,1.17792,1.17756,1.17787,168
2026-04-17 07:25:00,1.17787,1.17815,1.17786,1.17797,150
2026-04-17 07:30:00,1.17799,1.1781,1.17789,1.17797,129
2026-04-17 07:35:00,1.17797,1.17797,1.17775,1.17789,153
2026-04-17 07:40:00,1.17789,1.1779600000000001,1.17766,1.1779600000000001,145
2026-04-17 07:45:00,1.1779600000000001,1.17814,1.17791,1.17799,150
2026-04-17 07:50:00,1.17799,1.17812,1.17792,1.1781,155
2026-04-17 07:55:00,1.17812,1.17828,1.17801,1.17819,220
2026-04-17 08:00:00,1.17821,1.17839,1.17812,1.17826,165
2026-04-17 08:05:00,1.17828,1.17831,1.17815,1.17816,113
2026-04-17 08:10:00,1.17816,1.17839,1.17808,1.17821,119
2026-04-17 08:15:00,1.17821,1.17832,1.17812,1.17829,100
2026-04-17 08:20:00,1.17829,1.17832,1.17803,1.17817,119
2026-04-17 08:25:00,1.17817,1.17836,1.1781,1.1783299999999999,119
2026-04-17 08:30:00,1.17834,1.17845,1.17832,1.17842,105
2026-04-17 08:35:00,1.17842,1.17846,1.17821,1.17838,92
2026-04-17 08:40:00,1.17838,1.17911,1.17835,1.17908,199
2026-04-17 08:45:00,1.17908,1.17924,1.1789399999999999,1.1791800000000001,135
2026-04-17 08:50:00,1.17917,1.17932,1.17915,1.17932,139
2026-04-17 08:55:00,1.17931,1.17951,1.1791800000000001,1.17935,161
2026-04-17 09:00:00,1.17934,1.1796,1.17934,1.17946,158
2026-04-17 09:05:00,1.17946,1.17958,1.17927,1.1792799999999999,145
2026-04-17 09:10:00,1.17927,1.17934,1.17907,1.1791,129
2026-04-17 09:15:00,1.1791,1.1792799999999999,1.1791,1.1792799999999999,99
2026-04-17 09:20:00,1.1792799999999999,1.17969,1.1792799999999999,1.17967,135
2026-04-17 09:25:00,1.17967,1.17988,1.17962,1.1798,141
2026-04-17 09:30:00,1.1798,1.17981,1.1795200000000001,1.17963,170
2026-04-17 09:35:00,1.17963,1.1797,1.17934,1.17943,121
2026-04-17 09:40:00,1.17942,1.17961,1.1793,1.17934,102
2026-04-17 09:45:00,1.17935,1.17937,1.17905,1.17933,155
2026-04-17 09:50:00,1.17932,1.17946,1.17924,1.17939,138
2026-04-17 09:55:00,1.1794,1.17942,1.17924,1.1793,121
2026-04-17 10:00:00,1.1793,1.1793,1.17909,1.17912,136
2026-04-17 10:05:00,1.17912,1.17938,1.17911,1.17933,125
2026-04-17 10:10:00,1.17933,1.17943,1.1791800000000001,1.17941,113
2026-04-17 10:15:00,1.17941,1.1795499999999999,1.1794,1.17946,87
2026-04-17 10:20:00,1.17946,1.17951,1.17936,1.17944,116
2026-04-17 10:25:00,1.17946,1.17948,1.17932,1.17934,84
2026-04-17 10:30:00,1.17935,1.17939,1.17915,1.17917,109
2026-04-17 10:35:00,1.17917,1.17958,1.17915,1.17947,100
2026-04-17 10:40:00,1.17947,1.17947,1.17925,1.17934,107
2026-04-17 10:45:00,1.17932,1.17948,1.1793,1.17935,106
2026-04-17 10:50:00,1.17935,1.17954,1.17921,1.17941,108
